,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,978,0,0,0,0,0,0,0,1,1,0.9979
y:label=1,0,1132,0,2,0,1,0,0,0,0,0.9973
y:label=2,2,2,1022,0,1,0,0,4,1,0,0.9903
y:label=3,0,0,1,1007,0,2,0,0,0,0,0.9970
y:label=4,0,0,1,0,975,0,2,0,0,4,0.9928
y:label=5,0,1,0,11,0,876,1,0,0,3,0.9820
y:label=6,3,3,0,1,0,1,946,2,2,0,0.9874
y:label=7,0,5,2,0,0,0,0,1019,0,2,0.9912
y:label=8,2,0,0,2,0,2,0,1,964,3,0.9897
y:label=9,0,0,0,1,4,1,0,1,2,1000,0.9910
Precision,0.9928,0.9903,0.9961,0.9833,0.9948,0.9920,0.9968,0.9922,0.9938,0.9871,
F-Measures,0.9953,0.9937,0.9931,0.9901,0.9937,0.9869,0.9920,0.9916,0.9917,0.9890,
,,,,,,,,,,,
Accuracy,0.9919,,,,,,,,,,
Avg.Precision,0.9919,,,,,,,,,,
Avg.Recall,0.9917,,,,,,,,,,
Avg.F-Measures,0.9917,,,,,,,,,,
